make;model;year;mileage;engine_power;fuel_type;gearbox;price
citroen;c3;2021;21000;83;petrol;manual;29900
mitsubishi;outlander;2018;130936;150;petrol;automatic;66998
skoda;octavia;2007;130000;105;diesel;manual;19900
audi;q2;2023;46558;150;petrol;automatic;88997
mercedes-benz;glc;2017;65109;170;diesel;automatic;111998
opel;crossland-x;2024;20341;110;petrol;manual;59000
dodge;charger;2018;69000;305;petrol;automatic;99000
byd;seal-5;2025;10300;212;plugin-hybrid;automatic;98000
citroen;c4;2006;179970;110;petrol-lpg;automatic;10900
kia;sportage;2024;15300;150;petrol;manual;101498
audi;a4-limousine;2019;71000;150;petrol;automatic;79000
peugeot;308;2019;130588;130;diesel;manual;35998
peugeot;308;2019;134130;130;diesel;manual;35998
skoda;octavia;2018;60012;150;petrol;manual;57998
hyundai;i20;2020;70468;84;petrol-lpg;manual;43998
audi;a3-limousine;2015;84600;125;petrol;automatic;66750
subaru;impreza;2010;160000;170;petrol;automatic;18990
mercedes-benz;klasa-s;2019;70200;612;petrol;automatic;85000
opel;astra;2023;70667;130;diesel;manual;69998
renault;megane;2022;115559;116;diesel;automatic;47900
toyota;aygo;2014;86000;69;petrol;automatic;33900
ford;focus;2017;107000;105;petrol;manual;29900
mazda;3;2010;156881;115;diesel;manual;9900
bmw;seria-5;2019;69393;252;petrol;automatic;49000
mg;mg3;2024;19753;194;hybrid;automatic;77997
honda;odyssey;2005;257000;255;petrol;automatic;14900
bmw;seria-7;2010;81090;465;hybrid;automatic;35900
bmw;seria-5;2009;186528;190;petrol;manual;7999
seat;altea-xl;2010;338031;90;diesel;manual;9000
tesla;y;2022;54000;459;electric;automatic;66700
hyundai;kona;2024;13000;120;petrol;manual;80900
opel;crossland-x;2021;81000;83;petrol;manual;39999
renault;arkana;2024;28347;140;petrol;automatic;88000
fiat;126;1995;123820;24;petrol;manual;16800
ford;puma;2021;44000;200;petrol;manual;73900
mazda;cx-5;2023;41961;194;petrol;automatic;38000
chrysler;300c;2015;95000;340;petrol;automatic;67000
mercedes-benz;clk;2004;150000;306;petrol;automatic;39000
chevrolet;spark;2010;133529;68;petrol;manual;14000
bmw;m4;2015;106000;431;petrol;automatic;80000
dacia;duster;2017;161000;109;diesel;manual;19900
dacia;duster;2019;125718;114;petrol;manual;36500
peugeot;307-cc;2004;250000;136;petrol-lpg;manual;6000
mazda;3;2022;38765;186;petrol;manual;94997
nissan;juke;2017;130000;112;petrol;manual;32900
skoda;octavia;2010;220000;105;diesel;manual;9999
ford;fiesta;2008;144652;70;petrol;manual;7999
renault;captur;2016;97000;118;petrol;automatic;24900
hyundai;ioniq-6;2023;49000;229;electric;automatic;120000
ford;mondeo;2007;186000;220;petrol;manual;31500
volvo;v60;2021;79590;163;petrol;automatic;94997
skoda;superb;2013;148055;140;diesel;manual;17999
hyundai;kona;2021;62000;120;petrol;manual;65190
ford;fusion;2004;125000;80;petrol;manual;6000
subaru;forester;2025;13822;240;petrol;automatic;58000
bmw;seria-1;2016;205462;115;diesel;manual;33000
volkswagen;golf;2024;14184;265;petrol;automatic;55000
opel;astra;2008;174594;105;petrol;manual;7500
ford;fiesta;2009;139000;82;petrol;manual;13900
audi;a5-sportback;2024;28000;265;petrol;automatic;65000
hyundai;i20;2014;136640;75;diesel;manual;20700
bmw;x4;2020;120000;190;diesel;automatic;136000
volkswagen;golf;2010;173400;105;diesel;automatic;12900
dacia;logan;2018;120239;73;petrol;manual;21000
citroen;c3;2014;127000;82;petrol;manual;19999
skoda;superb;2024;55753;150;petrol;automatic;104000
toyota;camry;2019;86664;218;hybrid;automatic;87997
volvo;xc-90;2023;34953;310;petrol;automatic;66000
mercedes-benz;klasa-b;2017;180000;116;diesel;manual;37900
audi;a5-sportback;2022;143469;204;diesel;automatic;109998
hyundai;tucson;2023;53970;150;petrol;automatic;104998
hyundai;i30;2012;124587;100;petrol-lpg;manual;32950
land-rover;discovery-sport;2023;34636;249;petrol;automatic;139000
honda;cr-z;2011;122071;114;hybrid;manual;25000
renault;megane;2007;165032;103;diesel;manual;8500
kia;ceed;2023;94120;160;petrol;automatic;69998
mercedes-benz;klasa-a;2008;197542;109;diesel;manual;10000
mercedes-benz;klasa-a;2015;119000;90;diesel;manual;43999
renault;scenic;2003;197000;110;petrol;manual;6450
peugeot;rifter;2019;67000;110;petrol;manual;45900
jeep;grand-cherokee;2015;200800;250;diesel;automatic;56580
opel;vectra;2006;153000;105;petrol;manual;8900
bmw;seria-1;2013;203000;116;diesel;manual;14900
renault;kadjar;2016;137456;130;petrol;manual;39998
audi;q7;2020;64313;340;petrol;automatic;77000
kia;pro-ceed;2013;164000;90;petrol;manual;18900
bmw;seria-4;2024;25383;258;petrol;automatic;89000
jeep;grand-cherokee;1994;177000;215;petrol;automatic;39999
toyota;c-hr;2020;75752;184;hybrid;automatic;99999
honda;civic;2007;109800;140;petrol;manual;20000
mg;hs;2024;32765;170;petrol;automatic;101998
opel;astra;2011;185790;110;diesel;manual;21500
volvo;xc-40;2021;66869;250;petrol;automatic;52000
ford;fiesta;2012;129000;82;petrol;manual;15900
ford;fiesta;2019;138107;85;petrol;manual;25998
renault;kadjar;2019;82000;140;petrol;manual;55900
nissan;qashqai;2009;210000;116;petrol;manual;8500
volvo;v50;2010;167000;177;diesel;automatic;39900
volvo;xc-60;2020;78563;250;petrol;automatic;136900
