make;model;year;mileage;engine_power;fuel_type;gearbox;price
fiat;freemont;2015;165000;170;diesel;automatic;47500
citroen;c4;2014;165000;130;petrol;manual;15300
volvo;xc-60;2025;5700;300;petrol;automatic;176900
peugeot;308;2011;219000;163;diesel;automatic;14500
hyundai;bayon;2024;30748;100;petrol;manual;68900
audi;a4-limousine;2024;35959;150;petrol;automatic;124900
citroen;c5-aircross;2019;125000;130;diesel;automatic;46500
suzuki;vitara;1998;155800;132;petrol;manual;25000
cupra;cupra-leon;2022;142000;245;petrol;automatic;100000
lexus;ux;2022;139000;184;hybrid;automatic;99900
bmw;x2;2018;199121;192;petrol;automatic;65700
peugeot;3008;2011;196000;112;diesel;manual;19900
audi;a6-avant;2023;84000;204;diesel;automatic;137400
opel;insignia;2015;250000;170;diesel;manual;23124
peugeot;2008;2024;55900;130;petrol;automatic;82900
bmw;x5;2019;126000;265;diesel;automatic;196000
opel;meriva;2016;145000;120;petrol;manual;25900
mercedes-benz;klasa-a;2022;38000;136;petrol;automatic;109900
mazda;6;2016;136350;192;petrol;automatic;68900
mercedes-benz;glb;2021;74000;224;petrol;automatic;119998
honda;insight;2009;310000;98;petrol-lpg;automatic;17000
mercedes-benz;klasa-s;2015;176800;585;petrol;automatic;175900
volkswagen;transporter;2016;288000;150;diesel;manual;49900
jeep;wrangler;2023;25000;284;petrol;automatic;169899
hyundai;tucson;2022;120000;230;hybrid;automatic;106900
volkswagen;arteon;2019;108568;239;diesel;automatic;112900
skoda;octavia;2024;45000;149;diesel;automatic;90000
opel;corsa;2009;187000;90;petrol;manual;15000
ford;mondeo;2011;266555;140;diesel;manual;22500
bmw;x3;2019;115000;252;petrol;automatic;110000
audi;rs3;2022;179000;400;petrol;automatic;150000
toyota;auris;2014;86115;99;petrol;manual;36800
honda;jazz;2010;160000;90;petrol;manual;14500
hyundai;ix35;2015;188000;135;petrol;manual;23600
volkswagen;golf;2019;215100;115;diesel;manual;39900
volkswagen;arteon;2017;145448;240;diesel;automatic;94900
opel;corsa;2007;195824;60;petrol;manual;6900
renault;clio;2014;155200;90;petrol;manual;23900
mazda;3;2024;40200;186;petrol;automatic;109000
volkswagen;t-roc;2023;111000;150;petrol;automatic;96500
volkswagen;taigo;2023;39580;150;petrol;automatic;97900
ford;mustang-mach-e;2023;32705;370;electric;automatic;145998
peugeot;5008;2020;118677;130;petrol;manual;62000
citroen;c5-aircross;2023;26952;131;petrol;automatic;89997
hyundai;i40;2013;312000;178;petrol;manual;22900
skoda;fabia;2018;193400;95;petrol;manual;23500
ford;edge;2018;69980;245;petrol;automatic;72777
citroen;c5-aircross;2023;13684;136;petrol;automatic;89997
opel;insignia;2017;176525;260;petrol;automatic;62900
volkswagen;t-roc;2022;155000;150;petrol;automatic;75500
toyota;proace;2023;34000;144;diesel;manual;139900
volkswagen;polo;2010;186000;69;petrol;manual;17700
volkswagen;golf;2011;332123;170;diesel;manual;22000
peugeot;407;2005;311000;136;diesel;manual;5900
volkswagen;caddy;2022;137642;102;diesel;manual;84900
audi;a6-avant;2022;59928;340;petrol;automatic;197900
volkswagen;tiguan;2014;216000;140;diesel;manual;47500
renault;kadjar;2018;135000;110;diesel;automatic;53900
mercedes-benz;klasa-c;2019;53000;194;diesel;automatic;125900
citroen;c4;2025;15645;155;petrol;automatic;89997
opel;astra;2016;142000;110;diesel;manual;27700
renault;kadjar;2019;130000;116;diesel;manual;44900
ford;focus-sw;2010;192417;90;diesel;manual;9999
peugeot;5008;2011;246860;150;diesel;manual;18000
bmw;x4;2018;89958;183;petrol;automatic;109900
audi;q5-sportback;2023;70796;299;plugin-hybrid;automatic;156900
skoda;kamiq;2025;10704;115;petrol;manual;84900
citroen;c3;2023;41101;83;petrol;manual;47998
jaguar;f-type;2014;65000;380;petrol;automatic;139900
skoda;fabia;2019;219214;95;petrol;manual;24900
renault;megane;2023;15000;218;electric;automatic;46900
toyota;corolla;2020;46790;122;hybrid;automatic;79900
renault;kangoo;2019;175000;90;diesel;manual;33500
hyundai;ioniq;2021;52200;105;petrol;automatic;65900
skoda;superb;2023;61677;200;diesel;automatic;139900
kia;sportage;2024;47000;265;plugin-hybrid;automatic;39900
hyundai;tucson;2025;15082;159;petrol;automatic;169900
toyota;yaris;2024;26156;116;hybrid;automatic;89900
hyundai;i20;2023;33432;100;hybrid;automatic;47900
toyota;verso;2009;304000;126;diesel;manual;8500
toyota;rav4;2021;40404;177;petrol;manual;125900
audi;a5-sportback;2022;75801;265;petrol;automatic;189850
cupra;cupra-formentor;2023;53264;150;petrol;automatic;115900
nissan;qashqai;2017;118500;163;petrol;manual;62900
audi;a3-3-drzwiowe;2007;189785;140;diesel;manual;18900
fiat;punto;2009;132768;70;diesel;manual;9600
hyundai;tucson;2018;151000;132;petrol;manual;63950
volvo;v60;2022;150000;197;diesel;automatic;105800
seat;leon;2018;171500;90;diesel;manual;35900
kia;ceed;2011;221684;90;diesel;manual;19900
hyundai;i40;2015;184000;141;diesel;manual;37900
kia;niro;2019;93500;141;hybrid;automatic;64444
ford;mondeo;2006;202030;125;petrol;manual;7200
ford;tourneo-courier;2024;17800;125;petrol;manual;92900
opel;zafira;2006;334300;100;diesel;manual;6500
maserati;quattroporte;2017;113203;410;petrol;automatic;119999
audi;a6-avant;2024;48285;204;diesel;automatic;197900
tesla;model-3;2023;47563;480;electric;automatic;145138
volkswagen;jetta;2006;249857;105;diesel;manual;9900
ford;fiesta;2009;180000;82;petrol;manual;12900
nissan;qashqai;2025;6000;158;petrol;automatic;133800
seat;altea;2009;141000;102;petrol;manual;21800
honda;fr-v;2005;188438;125;petrol;manual;9900
kia;ev6;2021;51152;325;electric;automatic;139972
volvo;v90;2018;168000;190;diesel;automatic;89000
mercedes-benz;klasa-s;2017;169500;455;petrol;automatic;162999
volkswagen;caravelle;2023;118544;150;diesel;manual;175900
nissan;qashqai;2025;10000;158;petrol;automatic;135900
opel;astra;2010;199000;115;petrol;manual;15500
mazda;2;2022;27000;90;hybrid;automatic;59999
saab;9-3;2007;206434;150;petrol;manual;17900
seat;arona;2019;75000;116;petrol;manual;42900
opel;astra;2017;143000;160;diesel;manual;41400
bmw;ix1;2024;18215;204;electric;automatic;149500
renault;clio;2017;66800;73;petrol;manual;35500
citroen;berlingo;2017;102000;99;diesel;manual;40000
peugeot;308;2020;111000;130;diesel;manual;39999
toyota;corolla;2025;24363;140;hybrid;automatic;109900
skoda;scala;2022;160685;110;petrol;manual;49900
skoda;fabia;2024;16400;95;petrol;manual;69900
mercedes-benz;klasa-b;2012;175000;109;diesel;manual;29900
peugeot;2008;2015;87000;110;petrol;manual;27900
skoda;octavia;2015;139330;220;petrol;automatic;53900
seat;leon;2016;85000;184;diesel;automatic;55900
renault;scenic;2010;260282;106;diesel;manual;13500
hyundai;tucson;2025;5043;215;hybrid;automatic;172900
mercedes-benz;cla;2024;31000;163;petrol;automatic;134900
audi;s6-avant;2021;130000;344;hybrid;automatic;62500
volvo;v40;2018;157000;122;petrol;manual;49500
microcar;m-go;2021;47000;8;diesel;automatic;35900
ssangyong;xlv;2018;79400;128;petrol;manual;29800
audi;a4-avant;2024;20446;204;diesel;automatic;149900
peugeot;3008;2016;201031;149;diesel;manual;56900
ford;focus;2013;247000;115;diesel;manual;18500
hyundai;i30;2014;167345;135;petrol;manual;36900
hyundai;grand-santa-fe;2004;245825;113;diesel;manual;7400
renault;captur;2024;50297;140;petrol;automatic;84900
hyundai;i20;2020;88000;84;petrol;manual;43900
hyundai;tucson;2019;41174;132;petrol;manual;72000
skoda;octavia;2024;15200;190;petrol;automatic;129900
volvo;v60;2019;105000;190;diesel;automatic;49999
volvo;v50;2011;337251;115;diesel;manual;20500
mazda;mx-30;2023;29500;145;electric;automatic;76000
toyota;prius;2009;233300;136;hybrid;automatic;29990
volkswagen;t-cross;2019;138668;115;petrol;manual;55998
ford;c-max;2015;207000;125;petrol;manual;20000
audi;a4-limousine;2008;270000;143;diesel;manual;22000
skoda;scala;2020;190000;115;petrol;manual;36900
renault;espace;2023;19500;200;hybrid;automatic;134900
mini;one;2019;77000;102;petrol;automatic;59999
mazda;cx-7;2007;144977;260;petrol;manual;28500
mercedes-benz;klasa-c;2007;160000;143;petrol;manual;18900
opel;astra;2015;126619;125;petrol;manual;38900
bmw;seria-2;2020;187396;150;diesel;manual;48900
mercedes-benz;klasa-b;2020;117950;150;diesel;automatic;85000
bmw;seria-5;2018;177000;252;petrol;automatic;79999
mercedes-benz;klasa-c;2002;258225;143;diesel;manual;9000
suzuki;sx4-s-cross;2020;98400;129;petrol;manual;56900
kia;sportage;2015;184221;135;petrol;manual;43700
kia;stonic;2020;136093;120;petrol;manual;47500
chrysler;pacifica;2021;131700;287;petrol;automatic;109900
opel;astra;2012;260000;140;petrol;manual;17500
volkswagen;caddy;2022;194480;102;diesel;manual;76900
mitsubishi;eclipse-cross;2018;92000;163;petrol;automatic;74600
volkswagen;tiguan;2012;169221;180;petrol;manual;37900
kia;stonic;2022;28500;83;petrol;manual;63900
ford;kuga;2018;104000;150;diesel;automatic;59500
toyota;aygo;2021;117000;72;petrol;manual;30000
kia;sportage;2017;116486;132;petrol;manual;56900
audi;q5;2014;234000;177;diesel;automatic;58900
skoda;octavia;2009;399000;105;diesel;manual;7999
toyota;rav4;2022;74658;173;petrol;automatic;140500
citroen;c4-cactus;2018;75155;110;petrol;manual;39000
peugeot;5008;2010;252274;120;petrol;manual;14900
hyundai;i30;2023;27185;120;petrol;manual;57900
seat;tarraco;2024;25694;150;diesel;automatic;157000
kia;ceed;2018;310000;110;diesel;manual;24000
renault;arkana;2023;34178;160;hybrid;automatic;106000
peugeot;5008;2022;150000;177;diesel;automatic;125900
hyundai;tucson;2023;47000;230;hybrid;automatic;66500
hyundai;tucson;2018;184342;132;petrol;manual;57900
skoda;kodiaq;2022;154332;150;diesel;automatic;108700
nissan;qashqai;2011;167000;116;petrol;manual;34000
audi;q3-sportback;2021;164932;150;diesel;automatic;108700
opel;mokka;2015;151323;140;petrol;automatic;39800
audi;a4-limousine;2021;186211;150;petrol;automatic;87900
renault;clio;2010;127468;75;petrol;manual;18900
hyundai;coupe;2007;141610;143;petrol;manual;22999
bmw;x3;2020;204553;150;diesel;automatic;94900
kia;sportage;2016;164332;115;diesel;manual;51900
toyota;corolla;2023;80433;140;hybrid;automatic;91800
toyota;corolla;2023;86865;140;hybrid;automatic;91600
renault;arkana;2021;109437;140;petrol;automatic;78900
mercedes-benz;klasa-c;2017;297000;184;petrol;automatic;64900
lexus;ux;2025;15510;199;hybrid;automatic;188850
toyota;corolla-cross;2023;54624;197;hybrid;automatic;122800
toyota;yaris-cross;2025;31740;116;hybrid;automatic;109900
volkswagen;tiguan;2021;153443;150;diesel;automatic;95800
smart;fortwo;2013;112000;71;petrol;automatic;18700
kia;sportage;2021;100248;115;diesel;manual;66998
audi;q3-sportback;2021;129932;150;petrol;automatic;103700
lexus;lbx;2024;10334;136;hybrid;automatic;137850
toyota;yaris-cross;2023;24838;116;hybrid;automatic;99900
mazda;cx-3;2020;48400;121;petrol;manual;79600
volkswagen;passat;2007;246000;140;diesel;manual;9500
toyota;auris;2017;133554;132;petrol;manual;49900
toyota;yaris;2025;9667;116;hybrid;automatic;94900
land-rover;discovery-sport;2017;129000;150;diesel;automatic;54999
skoda;superb;2023;56500;280;petrol;automatic;155000
audi;q5;2022;204331;204;diesel;automatic;114800
ford;focus;2017;140000;125;petrol;manual;19999
renault;scenic;2007;270000;130;diesel;manual;10000
opel;astra;2020;121814;122;diesel;automatic;36900
mercedes-benz;klasa-e;2019;162539;340;diesel;automatic;139900
mercedes-benz;cla;2017;143628;122;petrol;automatic;67900
opel;combo;2021;157000;102;diesel;manual;53900
ford;mondeo;2017;172836;187;hybrid;automatic;48500
ford;edge;2016;157000;284;petrol-lpg;automatic;56000
volkswagen;tiguan;2016;211000;200;petrol;automatic;41000
skoda;superb;2024;16671;265;petrol;automatic;152900
volkswagen;t-roc;2020;183211;150;diesel;automatic;77800
ford;kuga;2017;216776;150;diesel;automatic;55600
volkswagen;caddy;2011;328000;140;diesel;automatic;36900
kia;xceed;2025;6356;150;petrol;automatic;109900
audi;q5;2024;43138;265;petrol;automatic;85000
audi;a3-sportback;2010;254000;105;diesel;manual;22800
toyota;auris;2010;117719;132;petrol;manual;27000
mazda;cx-3;2017;94384;120;petrol;manual;59990
ford;edge;2019;145000;238;diesel;automatic;79000
volkswagen;t-roc;2021;184211;150;petrol;automatic;69800
kia;ceed;2008;206743;109;petrol;manual;5900
audi;q2;2020;98443;116;diesel;automatic;72700
ford;kuga;2013;109000;150;petrol;manual;32500
volkswagen;passat;2016;236000;190;diesel;manual;60000
audi;a3-sportback;2022;182332;150;petrol;automatic;76900
toyota;prius;2007;234000;78;hybrid;automatic;22900
renault;clio;2017;173548;90;diesel;manual;25000
volkswagen;taigo;2022;112543;150;petrol;automatic;81800
bmw;x4;2020;164221;190;diesel;automatic;113800
ford;edge;2016;109000;245;petrol;automatic;59500
opel;astra;2006;279000;101;diesel;manual;6200
mini;cooper;2007;232379;120;petrol;manual;13500
opel;astra;2010;100041;90;petrol;manual;16000
subaru;impreza;2012;118000;300;petrol;manual;87000
kia;sportage;2014;142600;135;petrol;manual;30000
citroen;c5-aircross;2022;38438;131;petrol;automatic;87997
mini;clubman;2015;188000;150;diesel;automatic;34900
bmw;seria-1;2025;5236;170;petrol;automatic;139900
mini;john-cooper-works;2025;6691;231;petrol;automatic;184595
volvo;v70;2013;267262;115;diesel;automatic;29000
bmw;seria-5;2018;174000;258;diesel;automatic;100000
audi;tt-roadster;2007;337000;200;petrol;manual;28700
volkswagen;tiguan;2018;123288;150;diesel;automatic;66500
toyota;proace-verso;2021;33178;144;diesel;manual;144900
skoda;enyaq;2021;36359;179;electric;automatic;104000
audi;a4-allroad;2010;320000;240;diesel;manual;24900
volkswagen;polo;2018;105277;200;petrol;automatic;67200
volkswagen;touran;2021;70840;149;petrol;automatic;109900
volkswagen;golf-sportsvan;2016;158161;110;diesel;automatic;39400
renault;megane;2022;109597;115;diesel;automatic;50100
ford;mustang-mach-e;2021;89000;269;electric;automatic;89900
peugeot;5008;2017;146009;130;diesel;manual;49600
seat;leon;2017;140726;115;diesel;manual;36600
volkswagen;passat;2015;219000;150;diesel;automatic;39900
renault;megane;2015;93105;115;petrol;manual;28500
ford;edge;2019;49972;238;diesel;automatic;79900
hyundai;i30;2023;24846;120;petrol;manual;57900
toyota;corolla;2022;137300;125;petrol;automatic;57900
skoda;superb;2018;142917;272;petrol;automatic;75998
seat;leon;2017;152729;184;diesel;automatic;48700
skoda;rapid;2018;128108;110;petrol;manual;14900
toyota;corolla;2022;118700;125;petrol;automatic;58900
renault;austral;2024;61964;200;hybrid;automatic;102800
citroen;berlingo;2005;178200;75;petrol;manual;11900
peugeot;2008;2013;99345;120;petrol;manual;19500
ford;kuga;2009;187277;140;diesel;manual;24900
hyundai;santa-fe;2017;159000;150;diesel;manual;65000
toyota;corolla;2022;72100;125;petrol;manual;65900
audi;a6-limousine;2022;155352;204;diesel;automatic;112998
renault;clio;2007;191500;197;petrol-lpg;manual;26500
toyota;corolla;2022;143400;125;petrol;automatic;56900
jaguar;xk;1997;210000;395;petrol;automatic;29000
kia;stonic;2021;82573;100;petrol;automatic;63500
renault;captur;2021;95578;140;petrol;manual;56400
mercedes-benz;glc;2023;83021;197;diesel;automatic;180000
toyota;corolla;2021;96000;122;hybrid;automatic;69700
mercedes-benz;klasa-e;2009;272000;204;diesel;automatic;39999
volvo;xc-90;2004;395552;163;diesel;automatic;13900
seat;arona;2020;84957;115;petrol;manual;64900
mercedes-benz;ml;2007;309000;224;diesel;automatic;29900
toyota;corolla;2022;76100;125;petrol;manual;68900
opel;mokka;2021;19023;100;petrol;manual;67000
dacia;bigster;2025;8300;157;hybrid;automatic;125500
opel;mokka;2019;132648;140;petrol;manual;44100
toyota;corolla;2022;75500;125;petrol;manual;65800
opel;mokka-x;2017;71003;140;petrol;manual;49900
peugeot;508;2012;203000;156;petrol;manual;16900
opel;mokka-x;2017;89393;140;petrol;manual;44200
kia;soul;2009;202158;105;petrol;manual;15500
opel;meriva;2012;169000;101;petrol;manual;18900
opel;grandland-x;2019;76580;130;petrol;manual;55600
kia;sportage;2019;228055;136;diesel;automatic;47990
audi;a6-avant;2023;55089;204;diesel;automatic;159998
toyota;auris;2008;164592;124;petrol-lpg;manual;15000
ford;s-max;2008;278000;145;petrol;manual;15800
nissan;qashqai;2017;149491;130;diesel;automatic;45300
mercedes-benz;eqb;2024;13000;228;electric;automatic;149445
chevrolet;orlando;2012;159877;163;diesel;manual;21800
toyota;c-hr;2021;69000;184;hybrid;automatic;92900
chevrolet;aveo;2008;160000;85;petrol;manual;6800
hyundai;tucson;2020;128800;132;petrol;manual;68900
renault;captur;2024;38181;90;petrol;manual;79900
mercedes-benz;klasa-c;2017;116852;136;diesel;automatic;55800
toyota;auris;2016;207670;99;petrol;manual;27000
mitsubishi;l200;2000;234380;100;diesel;manual;14900
toyota;yaris;2020;75500;72;petrol;manual;43900
kia;sportage;2018;93738;132;petrol;manual;59900
opel;astra;2015;90614;100;petrol;manual;28800
opel;insignia;2016;246948;170;diesel;automatic;29900
citroen;c4-grand-picasso;2008;290000;136;diesel;automatic;9800
mitsubishi;outlander;2017;113445;204;plugin-hybrid;automatic;72500
audi;rs3-limousine;2019;69500;400;petrol;automatic;145000
nissan;qashqai;2024;19961;158;hybrid;manual;106900
kia;sportage;2021;124793;136;diesel;automatic;63500
ford;focus-sw;2013;232910;95;diesel;manual;15500
renault;laguna;2007;299000;150;diesel;manual;7500
dacia;sandero-stepway;2022;17000;91;petrol;manual;27900
hyundai;tucson;2022;105000;180;petrol;automatic;88800
volkswagen;passat-cc;2011;222000;200;petrol;manual;24000
hyundai;tucson;2018;157516;136;diesel;automatic;61200
volkswagen;touareg;2008;250698;240;diesel;automatic;31900
fiat;doblo;2016;212454;75;diesel;manual;19900
ford;escape;2017;177000;182;petrol;automatic;40000
peugeot;partner;2015;128000;100;diesel;manual;38900
dacia;sandero;2018;56000;73;petrol;manual;19900
ford;galaxy;2020;124572;150;diesel;automatic;79000
mitsubishi;lancer;2010;148139;109;petrol;manual;21000
toyota;corolla;2022;53466;122;hybrid;automatic;79997
renault;captur;2024;36515;90;petrol;manual;79900
volkswagen;passat;2020;149146;200;diesel;automatic;109900
ds-automobiles;ds-3-crossback;2019;94360;130;petrol;automatic;48500
kia;sportage;2015;125762;136;petrol;manual;52900
honda;civic;2015;156000;141;petrol;manual;49900
ford;mondeo;2006;266000;125;petrol;manual;8500
citroen;c5-aircross;2022;88892;225;plugin-hybrid;automatic;73800
nissan;micra;2010;184000;80;petrol;manual;14900
ford;kuga;2012;205000;140;diesel;manual;29900
bmw;x1;2017;124153;150;diesel;manual;56000
citroen;berlingo;2021;81554;130;diesel;manual;57900
ssangyong;tivoli;2018;192000;115;diesel;automatic;39900
skoda;fabia;2005;84395;54;petrol;manual;8500
mini;countryman;2018;61801;102;petrol;manual;52999
citroen;c1;2017;31121;69;petrol;manual;29600
audi;a3-sportback;2013;239000;150;diesel;manual;42000
toyota;corolla;2011;133500;132;petrol;manual;26500
porsche;macan;2020;98000;252;petrol;automatic;145000
audi;q5;2017;154308;163;diesel;automatic;74700
citroen;c4;2023;24467;131;petrol;automatic;61200
mercedes-benz;eqc;2020;59416;408;electric;automatic;145998
porsche;cayenne;2012;299000;420;petrol;automatic;79800
hyundai;i30;2022;140000;120;petrol;manual;44800
renault;clio;2019;134000;90;petrol;manual;29900
nissan;x-trail;2017;75000;163;petrol;manual;43900
mercedes-benz;klasa-c;2010;210000;156;petrol;manual;28500
audi;a4-avant;2017;151439;150;diesel;automatic;57100
audi;q3-sportback;2021;127700;245;plugin-hybrid;automatic;104000
ds-automobiles;ds-3;2016;101500;165;petrol;manual;23700
mini;clubman;2016;200000;190;diesel;manual;45900
audi;a3-sportback;2014;113000;150;petrol;manual;41900
skoda;superb;2022;126499;150;diesel;automatic;89900
fiat;doblo;2014;242000;90;diesel;manual;21900
ford;fiesta;2009;149000;82;petrol;manual;14500
skoda;rapid;2013;206000;86;petrol;manual;15900
audi;a4-avant;2019;165996;150;petrol;manual;53400
cupra;cupra-formentor;2024;34000;245;plugin-hybrid;automatic;141900
bmw;seria-3;2008;273000;218;petrol;manual;25999
volvo;v40;2016;182000;120;diesel;manual;36900
audi;a4-avant;2009;279777;143;diesel;automatic;20900
citroen;c5x;2022;43158;130;petrol;automatic;65100
hyundai;tucson;2018;140773;141;diesel;automatic;60500
volkswagen;passat;2015;120000;190;diesel;automatic;62900
audi;a3-sportback;2016;16685;204;plugin-hybrid;automatic;43400
opel;zafira;2017;243000;170;diesel;manual;41900
opel;mokka;2023;40422;130;petrol;automatic;76998
renault;arkana;2021;74000;140;petrol;automatic;72999
hyundai;tucson;2017;90500;177;petrol;automatic;64000
toyota;yaris;2023;74809;125;petrol;manual;69900
toyota;corolla;2020;119846;122;hybrid;automatic;74900
kia;sorento;2015;239090;185;diesel;automatic;55300
jeep;compass;2019;100000;140;petrol;manual;64900
land-rover;discovery-sport;2024;33100;200;diesel;automatic;189900
fiat;tipo;2017;76000;95;petrol;manual;35500
hyundai;bayon;2023;31600;100;petrol;automatic;69900
hyundai;tucson;2022;92100;230;hybrid;automatic;111900
audi;a8;2012;176717;372;petrol;automatic;57000
volkswagen;cc;2012;218049;170;diesel;automatic;34900
audi;a3-3-drzwiowe;2002;145000;102;petrol;manual;8500
mitsubishi;outlander;2015;72345;150;petrol;automatic;51500
dacia;duster;2021;139300;115;diesel;manual;47900
volvo;s80;2012;153000;215;diesel;automatic;55800
mercedes-benz;gla;2017;142732;136;diesel;automatic;43900
bmw;x5;2013;295000;258;diesel;automatic;64500
volkswagen;golf;2017;155000;110;petrol-lpg;manual;26900
nissan;qashqai;2010;166094;141;petrol;manual;27900
ford;edge;2021;44000;245;petrol;automatic;98000
nissan;juke;2024;15000;114;petrol;manual;72900
volkswagen;up;2013;91000;60;petrol;manual;16900
volvo;xc-40;2025;7320;163;hybrid;automatic;169900
toyota;yaris;2017;94000;99;petrol;manual;36700
bmw;x5;2015;292168;258;diesel;automatic;105000
mercedes-benz;klasa-a;2007;156906;95;petrol;manual;8500
audi;a6-avant;2019;150810;204;diesel;automatic;96900
hyundai;ix35;2011;239000;163;petrol-lpg;manual;27500
opel;astra;2010;233000;140;petrol;manual;16500
jeep;grand-cherokee;2015;232000;285;petrol;automatic;68750
porsche;cayenne;2019;81000;340;petrol;automatic;114900
volvo;xc-60;2022;65000;197;petrol;automatic;163900
toyota;c-hr;2025;15430;151;plugin-hybrid;automatic;151600
volkswagen;golf;2016;329745;150;diesel;automatic;35000
nissan;juke;2018;50266;94;petrol;manual;46900
mercedes-benz;cla;2025;18098;163;petrol;automatic;169900
mercedes-benz;gla;2020;49224;163;petrol;automatic;124900
volvo;v40;2014;208000;115;diesel;manual;37500
audi;a3-sportback;2017;176140;150;petrol;automatic;67000
skoda;octavia;2022;71540;190;petrol;automatic;109999
cupra;cupra-formentor;2021;130050;310;petrol;automatic;119800
jeep;grand-cherokee;2013;232000;250;diesel;automatic;37800
renault;kadjar;2016;114000;110;diesel;automatic;45900
ford;fusion;2016;154000;240;petrol-lpg;automatic;44999
subaru;forester;2007;199000;158;petrol;manual;12900
audi;a6-limousine;2007;259500;180;diesel;manual;18000
ford;mondeo;2012;285000;120;petrol;manual;16500
hyundai;kona;2025;9100;129;hybrid;automatic;109900
ford;mondeo;2016;165333;180;diesel;automatic;39900
mercedes-benz;klasa-c;2007;357000;150;diesel;manual;11700
opel;mokka-x;2017;98000;115;petrol;manual;52900
volkswagen;tiguan;2016;173333;150;diesel;automatic;72499
hyundai;i30;2023;30020;120;petrol;manual;57900
opel;meriva;2016;140736;140;petrol;manual;32800
volvo;xc-90;2020;109000;235;diesel;automatic;175900
bmw;seria-5;2022;168243;340;diesel;automatic;139800
volkswagen;tiguan;2012;121200;160;petrol;manual;33200
skoda;kodiaq;2022;71809;200;diesel;automatic;159900
mercedes-benz;klasa-c;2004;139800;163;petrol;automatic;15400
audi;a8;2010;420000;250;diesel;automatic;46000
audi;a3-sportback;2006;243000;102;petrol;manual;11500
citroen;c5-aircross;2023;62218;130;diesel;automatic;89900
audi;a3-3-drzwiowe;2008;130000;102;petrol;manual;19999
volkswagen;golf;2011;178900;310;petrol;automatic;50000
kia;ceed;2020;158182;115;diesel;manual;43000
seat;toledo;2003;293544;110;diesel;manual;5999
nissan;qashqai;2020;59089;140;petrol;manual;69700
bmw;seria-3;2010;225600;177;diesel;manual;23000
citroen;berlingo;2019;85000;102;diesel;manual;53999
peugeot;3008;2022;76426;130;petrol;automatic;79000
opel;corsa;2018;74000;100;petrol;manual;32000
bmw;seria-3;2025;9000;150;diesel;automatic;189200
mazda;cx-5;2015;172296;175;diesel;automatic;48900
volkswagen;passat;2002;353600;130;diesel;manual;5900
volkswagen;t-roc;2022;72594;150;petrol;automatic;89900
volkswagen;scirocco;2011;192000;160;petrol;manual;25500
peugeot;308;2018;148639;130;diesel;manual;36000
hyundai;ix35;2014;176000;116;diesel;manual;37900
audi;rs5-sportback;2024;6800;450;petrol;automatic;189900
volkswagen;golf;2012;175435;105;petrol;manual;21000
peugeot;3008;2019;120000;130;petrol;manual;53900
renault;zoe;2014;81000;88;electric;automatic;24000
opel;agila;2011;153000;68;petrol;manual;10900
opel;astra;2018;85200;150;petrol;manual;44900
renault;clio;2020;52552;100;petrol;manual;37000
ford;b-max;2013;187000;75;diesel;manual;19400
hyundai;kona;2021;59016;198;petrol;automatic;84900
suzuki;grand-vitara;2008;86256;129;diesel;manual;23500
ford;explorer;2020;80700;457;plugin-hybrid;automatic;160000
toyota;corolla;2021;51064;122;hybrid;automatic;79950
toyota;corolla;2021;133152;122;hybrid;automatic;79900
toyota;proace-city-verso;2024;14027;130;diesel;manual;118000
bmw;m5;2015;141500;560;petrol;automatic;108000
skoda;karoq;2025;13711;150;petrol;automatic;124900
mercedes-benz;klasa-c;2009;189000;457;petrol;automatic;89900
volkswagen;arteon-shooting-brake;2020;82482;190;petrol;automatic;114900
renault;grand-scenic;2019;127356;163;petrol;automatic;60900
ford;c-max;2013;137107;115;diesel;manual;19900
volkswagen;tiguan-allspace;2024;71500;190;petrol;automatic;64900
mercedes-benz;klasa-c;2008;362000;170;diesel;automatic;18999
mitsubishi;asx;2015;244600;114;diesel;manual;32900
renault;trafic;2018;186394;145;diesel;manual;63000
audi;a3-limousine;2015;159400;180;petrol;automatic;29900
volkswagen;passat;2022;68521;200;diesel;automatic;104900
mercedes-benz;klasa-a;2025;9000;163;petrol;automatic;139900
land-rover;range-rover-evoque;2020;63600;249;petrol;automatic;64900
volkswagen;passat;2022;103900;150;petrol;manual;74900
opel;astra;2012;159167;120;petrol;manual;26900
audi;a4-limousine;2021;122000;150;petrol;automatic;89900
skoda;fabia;2014;112560;70;petrol;manual;17500
mercedes-benz;cla;2024;15128;163;petrol;automatic;149900
mercedes-benz;vito;2008;364000;116;diesel;automatic;24900
ford;focus;2021;35957;125;petrol;automatic;69850
lexus;lbx;2025;13133;136;hybrid;automatic;179850
hyundai;i40;2016;230303;141;diesel;manual;32000
kia;ceed;2017;226602;136;diesel;manual;39900
mazda;6;2015;101400;192;petrol;automatic;67900
ford;fiesta;2018;100000;100;petrol;automatic;36900
volvo;v40;2017;187839;120;diesel;automatic;40000
mazda;cx-5;2019;133000;184;diesel;automatic;85900
toyota;corolla;2022;58669;125;petrol;manual;67600
kia;xceed;2024;38721;160;petrol;automatic;89900
audi;a3-sportback;2023;39683;150;petrol;automatic;94000
toyota;c-hr;2023;15641;197;hybrid;automatic;151900
mercedes-benz;klasa-s;1994;615000;150;diesel;automatic;19000
